Loan ID,Borrower ID,Borrower Name,Gender,Borrower Age,Marital Status,Borrower Address,Borrower Email,Borrower Phone Number,Loan Amount,Loan Type,Interest Rate,Loan Term,Loan Status,Credit Score,Income,Employment Status,Loan Origination Date,Loan Paid Date
1121,2736,Christy Ford,Female,47,Married,"341 April Coves
Whiteview, MA 38505",christy.ford@yapi.com,200-475-4440x848,3867.87,Commercial Loan,3.18,2 years,In Arrears,467,17887,Unemployed,10/3/2020, 
92,3427,Zachary Dawson,Female,43,Not Married,"5719 Myers Divide Apt. 305
Mitchellmouth, TN 28671",zachary.dawson@yapi.com,001-778-975-7894x081,24096.53,Auto Loan,5.76,3 years,Paid Off,760,42134,Self-Employed,5/27/2021,6/27/2024 0:00
359,3063,Sabrina Duran,Male,31,Married,"213 Dana Centers
Faithview, FM 34122",sabrina.duran@yapi.com,(388)270-6863,2857.4,Auto Loan,5.58,4 years,Defaulted,803,40400,Employed,5/18/2021, 
1251,2612,Christina White,Male,36,Married,"27707 Bryant Via
Michaelabury, NC 08994",christina.white@yapi.com,431-575-0792,13029.76,Commercial Loan,9.44,4 years,Paid Off,694,60130,Employed,11/22/2018,12/22/2022 0:00
1210,1991,Dawn Mckenzie,Male,52,Not Married,"Unit 6156 Box 5982
DPO AE 97970",dawn.mckenzie@yapi.com,001-274-914-7555x091,13241.87,Auto Loan,3.11,2 years,Defaulted,751,42195,Employed,3/13/2019, 
746,3890,Lisa Lee,Male,54,Married,"937 Lawrence Mission Suite 557
South Nicholasville, ND 19833",lisa.lee@yapi.com,6394411826,17461.25,Mortgage,6.6,2 years,Paid Off,818,33159,Employed,9/5/2021,7/5/2024 0:00
48,1813,Janice Simmons,Female,44,Married,"412 Raymond Gardens Suite 516
West Brooke, WI 01835",janice.simmons@yapi.com,(465)498-8138x9722,34976.91,Mortgage,8.53,4 years,Paid Off,746,76165,Employed,3/16/2020,12/16/2024 0:00
1371,2452,Audrey Holmes,Male,52,Married,"24480 Lin Crossroad Apt. 714
Howellburgh, ID 72724",audrey.holmes@yapi.com,(804)590-8740x81175,43058.81,Auto Loan,5.65,2 years,Defaulted,701,52649,Employed,9/7/2019, 
41,3156,Alexander Walker,Male,43,Not Married,"9970 Harvey Islands
Cesarview, FM 34100",alexander.walker@yapi.com,-3844,15208.87,Mortgage,2.8,2 years,Paid Off,797,39165,Employed,5/4/2020,8/4/2022 0:00
1312,3653,Michelle Lee,Male,29,Not Married,"089 Wang Parkways Apt. 796
Lopezhaven, WA 22938",michelle.lee@yapi.com,427-659-3703x920,7217.43,Mortgage,9.93,1 years,Defaulted,301,12693,Unemployed,9/4/2019, 
1204,1777,Mark Hall,Male,38,Married,"53896 Woodard Mill
Port Tonyside, NV 66342",mark.hall@yapi.com,001-401-661-9187,59439.32,Mortgage,4.55,4 years,In Arrears,636,79975,Employed,2/26/2019, 
845,3706,Alex Alvarez,Male,53,Married,"836 Austin Parkways Apt. 828
Markbury, WY 57597",alex.alvarez@yapi.com,(683)269-5048x8224,9375.09,Mortgage,6.25,1 years,Paid Off,446,11347,Unemployed,7/3/2019,2/3/2021 0:00
591,3166,Vickie Vega,Female,33,Married,"5932 Winters Passage Apt. 295
Lake Brettland, HI 66102",vickie.vega@yapi.com,001-820-466-7801x91483,30322.83,Commercial Loan,6.77,1 years,Paid Off,628,45600,Employed,7/26/2021,10/26/2022 0:00
689,2845,Corey Myers,Male,50,Married,"502 Stokes Loop
Port Jimmytown, NY 60593",corey.myers@yapi.com,771.292.6964x073,11498.85,Mortgage,6.21,1 years,In Arrears,769,27096,Self-Employed,12/9/2018, 
1262,2005,Amber Jackson,Female,41,Married,"64908 Michael Street
Howardchester, VI 35622",amber.jackson@yapi.com,+1-880-752-1155x2006,19585.45,Commercial Loan,2.98,2 years,In Arrears,378,19720,Unemployed,1/24/2021, 
1204,3814,Jeremy Guerrero,Male,54,Married,"6483 Kenneth Summit
Jodychester, OH 89784",jeremy.guerrero@yapi.com,(872)654-8638x23549,29540.47,Mortgage,8.31,2 years,In Arrears,812,36394,Employed,7/13/2019, 
1347,1668,Michelle Nelson,Male,45,Not Married,"34145 Leslie Key
Garciamouth, MS 40133",michelle.nelson@yapi.com,397-881-9506x7941,14499.56,Commercial Loan,3.57,2 years,In Arrears,819,51152,Employed,11/3/2019, 
766,3606,Joseph May,Male,53,Married,"759 Steven Summit
East Angela, CA 80298",joseph.may@yapi.com,8527842311,28483.52,Commercial Loan,7.53,2 years,Paid Off,696,69932,Employed,12/18/2020,10/18/2023 0:00
633,3279,Debra Bennett,Male,35,Not Married,"05604 Nicole Harbor Apt. 684
Port Aprilfort, AL 05805",debra.bennett@yapi.com,+1-851-574-4200x696,17389.89,Personal Loan,8.02,1 years,Defaulted,766,43428,Self-Employed,7/29/2020, 
1062,1815,Andrew Jones,Female,43,Married,"417 Brown Village
New Anthonyton, MD 44827",andrew.jones@yapi.com,5274402661,14413.43,Mortgage,9.9,4 years,Paid Off,607,36422,Employed,1/30/2021,6/30/2025 0:00
1291,2023,Alicia Mckenzie,Female,45,Married,"40839 Allen Overpass
Collinsville, SD 54960",alicia.mckenzie@yapi.com,(491)834-6793,2688.4,Commercial Loan,4.39,3 years,Paid Off,516,8237,Unemployed,10/19/2020,9/19/2024 0:00
1107,3265,Breanna Francis,Male,48,Not Married,"1284 Noah Lights
Lewisborough, NC 64208",breanna.francis@yapi.com,7393825510,43341.98,Auto Loan,3.77,3 years,Defaulted,660,68767,Employed,9/9/2020, 
1344,2311,Jordan Leblanc,Female,40,Married,"73085 Christina Center Suite 358
Reidland, GU 31575",jordan.leblanc@yapi.com,(480)208-3421,1676.87,Personal Loan,5.09,4 years,Paid Off,825,63394,Employed,9/14/2021,5/14/2026 0:00
886,3043,Eric Smith,Male,39,Married,"11509 Meghan Ferry
Craigchester, DC 26871",eric.smith@yapi.com,268.894.9672x262,14954.46,Mortgage,7.78,3 years,Paid Off,491,17992,Unemployed,6/15/2020,1/15/2024 0:00
218,3187,Zachary Pena,Male,49,Married,"7649 Evans Shoal Apt. 931
Torresville, GU 27058",zachary.pena@yapi.com,(437)385-0538,4729.32,Auto Loan,3.46,2 years,In Arrears,772,44922,Self-Employed,10/23/2019, 
1402,2385,Jonathon Lang,Male,44,Not Married,"05911 Kendra Ports Suite 407
New Margaret, PW 49982",jonathon.lang@yapi.com,+1-502-301-6124x88636,1598.9,Commercial Loan,3.62,2 years,In Arrears,763,40591,Self-Employed,2/24/2021, 
1123,2429,Jay Evans,Male,42,Not Married,"95348 Cindy Hills
East Jenniferland, PA 38412",jay.evans@yapi.com,001-759-721-9602x0636,12297.13,Auto Loan,7.56,2 years,Defaulted,522,13386,Unemployed,11/28/2019, 
