Operations_ID,Product_ID,Product_Name,Product_Category,Production_Date,Production_Quantity,Quality_Metrics,Quantity_in_Stock,Quantity_Sold,Supplier_ID,Supplier_Name,Lead_Time,Employee_ID,Employee_Name,Shift_Information,Maintenance_Type,Downtime_Duration,Energy_Consumption_Data,Production_Time,Downtime_Events,Employee_Rating,Downtime_Reason
1,2,Washing Machine,Home Appliances,5/30/2023,497,Passed,496,1,7,Ferguson Inc,9,6,Taylor Davis,Morning Shift,Repairs,none,869.9849609,4.509768674,0,4,Material Shortage
2,5,Air Conditioners,Home Appliances,8/28/2023,437,Failed,84,353,9,Lawson-Herrera,6,9,Natasha Thomas,Morning Shift,Repairs,1.289021255,822.3971226,8.88176803,5,3,Human Error
3,5,Air Conditioners,Home Appliances,7/13/2023,246,Failed,59,187,10,Campbell-Wong,2,10,Cheryl Nunez,Night Shift,Routine Maintenance,4.304791348,806.4924548,9.637728679,2,2,Technical Issues
4,2,Washing Machine,Home Appliances,8/7/2023,591,Passed,389,202,6,"Hill, Thomas and Neal",10,4,Megan Allen,Night Shift,Routine Maintenance,none,1164.227195,5.658093242,0,1,Human Error
5,6,Microwave Ovens,Home Appliances,8/3/2023,470,Passed,360,110,8,"Adams, Murphy and Wilson",9,10,Cheryl Nunez,Night Shift,Routine Maintenance,1.614071563,982.6411745,5.823657906,3,3,Technical Issues
6,1,Refrigerator,Home Appliances,5/15/2023,448,In-Between,88,360,4,"Yang, Walker and George",5,10,Cheryl Nunez,Night Shift,Repairs,none,926.988456,4.485649004,0,1,Material Shortage
7,1,Refrigerator,Home Appliances,6/25/2023,275,Passed,171,104,1,"Barnes, Butler and Russell",6,5,David Floyd,Afternoon Shift,Routine Maintenance,3.100452746,974.67356,8.113275998,3,3,Human Error
8,4,Diesel Generator,Industrial Machinery,4/27/2023,938,Failed,381,557,1,"Barnes, Butler and Russell",4,10,Cheryl Nunez,Night Shift,Repairs,3.318857025,1262.172436,9.719340766,4,4,Material Shortage
9,2,Washing Machine,Home Appliances,9/3/2023,488,Passed,487,1,8,"Adams, Murphy and Wilson",3,10,Cheryl Nunez,Night Shift,Routine Maintenance,2.996365983,896.2642527,7.857555105,3,5,Human Error
10,7,Industrial Cookers,Industrial Machinery,6/22/2023,610,Passed,298,312,1,"Barnes, Butler and Russell",10,9,Natasha Thomas,Morning Shift,Repairs,1.304617348,940.010044,5.448318538,1,3,Technical Issues
11,7,Industrial Cookers,Industrial Machinery,7/27/2023,422,Passed,421,1,3,Hartman-Banks,10,6,Taylor Davis,Morning Shift,Routine Maintenance,3.984549578,885.3261456,5.897679829,1,2,Material Shortage
12,7,Industrial Cookers,Industrial Machinery,5/16/2023,675,Passed,109,566,2,"Moore, Hernandez and Munoz",10,8,Sarah Lloyd,Afternoon Shift,Repairs,1.147868998,1007.105171,8.932249056,3,3,Human Error
13,4,Diesel Generator,Industrial Machinery,6/6/2023,361,In-Between,261,100,9,Lawson-Herrera,5,7,Victor Hernandez,Night Shift,Routine Maintenance,3.828420237,1174.859568,3.740387334,4,4,Technical Issues
14,4,Diesel Generator,Industrial Machinery,7/22/2023,695,Failed,485,210,5,Hawkins-Miller,10,8,Sarah Lloyd,Afternoon Shift,Routine Maintenance,4.586842599,1090.993028,9.416398799,4,4,Human Error
15,5,Air Conditioners,Home Appliances,6/29/2023,739,Passed,437,302,10,Campbell-Wong,10,5,David Floyd,Afternoon Shift,Repairs,none,871.0408867,5.454860662,0,4,Technical Issues
16,7,Industrial Cookers,Industrial Machinery,7/18/2023,707,Passed,489,218,9,Lawson-Herrera,1,4,Megan Allen,Night Shift,Repairs,1.525867977,863.3302721,10.17271226,5,2,Human Error
17,7,Industrial Cookers,Industrial Machinery,8/24/2023,525,In-Between,260,265,4,"Yang, Walker and George",9,5,David Floyd,Afternoon Shift,Routine Maintenance,none,833.9853988,9.582856579,0,3,Material Shortage
18,6,Microwave Ovens,Home Appliances,7/7/2023,902,In-Between,92,810,9,Lawson-Herrera,10,4,Megan Allen,Night Shift,Routine Maintenance,3.608479607,1180.318146,6.76834275,1,1,Human Error
19,2,Washing Machine,Home Appliances,6/22/2023,325,Passed,64,261,4,"Yang, Walker and George",6,6,Taylor Davis,Morning Shift,Routine Maintenance,1.313398028,1329.099514,4.411099205,2,3,Human Error
20,1,Refrigerator,Home Appliances,9/22/2023,924,Passed,121,803,8,"Adams, Murphy and Wilson",5,7,Victor Hernandez,Night Shift,Repairs,none,1038.890239,8.862263574,0,3,Material Shortage
21,2,Washing Machine,Home Appliances,6/18/2023,826,Passed,82,744,2,"Moore, Hernandez and Munoz",5,7,Victor Hernandez,Night Shift,Routine Maintenance,2.938042112,1094.256745,11.15700937,3,2,Human Error
22,6,Microwave Ovens,Home Appliances,4/29/2023,486,Passed,485,1,4,"Yang, Walker and George",10,7,Victor Hernandez,Night Shift,Repairs,4.181179126,856.0022737,8.645271416,2,2,Technical Issues
23,6,Microwave Ovens,Home Appliances,7/28/2023,353,Passed,352,1,1,"Barnes, Butler and Russell",1,5,David Floyd,Afternoon Shift,Repairs,3.776333686,1310.000021,8.081796398,3,1,Technical Issues
24,6,Microwave Ovens,Home Appliances,9/20/2023,829,Passed,213,616,10,Campbell-Wong,10,4,Megan Allen,Night Shift,Routine Maintenance,1.561361074,1202.044547,6.065690188,5,3,Material Shortage
